router http://10.60.1.88:30000
worker http://10.60.1.19:35997 http://10.60.1.19:35089 http://10.60.1.22:33833 http://10.60.1.22:39477 http://10.60.1.123:32925 http://10.60.1.123:37455 http://10.60.1.88:32985 http://10.60.1.88:34507 http://10.60.1.45:34887 http://10.60.1.45:37879 http://10.60.1.167:34035 http://10.60.1.167:35269 
15:47:55 t=1786895275 | 10.60.1.19:35997 -- | 10.60.1.19:35089 -- | 10.60.1.22:33833 -- | 10.60.1.22:39477 -- | 10.60.1.123:32925 -- | 10.60.1.123:37455 -- | 32985     - req=0 0/0 kv= 0% pre=0 | 34507     - req=0 0/0 kv= 0% pre=0 | 34887     - req=0 0/0 kv= 0% pre=0 | 37879     - req=0 0/0 kv= 0% pre=0 | 34035     - req=0 0/0 kv= 0% pre=0 | 35269     - req=0 0/0 kv= 0% pre=0 || 合计 -
15:59:07 t=1786895947 | 35997  97.8% req=1337 5/0 kv= 7% pre=0 | 35089  98.3% req=1175 3/0 kv= 4% pre=0 | 33833  96.7% req=1668 6/0 kv= 6% pre=0 | 39477  97.3% req=1515 9/0 kv=11% pre=0 | 32925  98.3% req=1314 0/0 kv= 0% pre=0 | 37455  95.8% req=1546 32/0 kv=30% pre=0 | 32985  97.3% req=1400 1/0 kv= 1% pre=0 | 34507  97.8% req=1568 8/0 kv= 9% pre=0 | 34887  97.6% req=1485 11/0 kv=14% pre=0 | 37879  97.1% req=1427 7/0 kv= 8% pre=0 | 34035  98.3% req=1319 6/0 kv= 8% pre=0 | 35269  97.2% req=1573 8/0 kv= 9% pre=0 || 合计 97.3%
15:59:38 t=1786895978 | 35997  98.3% req=1363 3/0 kv= 5% pre=0 | 35089  98.0% req=1189 2/0 kv= 2% pre=0 | 33833  97.0% req=1722 14/0 kv=16% pre=0 | 39477  97.1% req=1562 9/0 kv=11% pre=0 | 32925  97.8% req=1327 2/0 kv= 2% pre=0 | 37455  96.1% req=1637 32/0 kv=31% pre=0 | 32985  97.8% req=1450 4/0 kv= 5% pre=0 | 34507  97.2% req=1610 9/0 kv=10% pre=0 | 34887  97.5% req=1527 8/0 kv=11% pre=0 | 37879  97.3% req=1458 3/0 kv= 3% pre=0 | 34035  97.8% req=1345 4/0 kv= 5% pre=0 | 35269  96.6% req=1608 6/0 kv= 7% pre=0 || 合计 97.2%
16:00:08 t=1786896008 | 35997  98.6% req=1376 1/0 kv= 2% pre=0 | 35089  94.7% req=1195 0/0 kv= 0% pre=0 | 33833  97.2% req=1781 4/0 kv= 5% pre=0 | 39477  97.2% req=1597 5/0 kv= 7% pre=0 | 32925  97.0% req=1337 0/0 kv= 0% pre=0 | 37455  96.9% req=1716 29/0 kv=28% pre=0 | 32985  97.4% req=1502 10/0 kv=13% pre=0 | 34507  97.7% req=1645 5/0 kv= 6% pre=0 | 34887  97.7% req=1565 6/0 kv= 8% pre=0 | 37879  98.3% req=1476 3/0 kv= 4% pre=0 | 34035  97.3% req=1362 2/0 kv= 3% pre=0 | 35269  97.8% req=1638 3/0 kv= 3% pre=0 || 合计 97.4%
16:00:38 t=1786896038 | 35997  98.8% req=1382 1/0 kv= 2% pre=0 | 35089     - req=1195 0/0 kv= 0% pre=0 | 33833  97.1% req=1827 7/0 kv= 8% pre=0 | 39477  97.0% req=1626 5/0 kv= 8% pre=0 | 32925  98.2% req=1343 1/0 kv= 1% pre=0 | 37455  96.7% req=1807 25/0 kv=26% pre=0 | 32985  98.2% req=1556 4/0 kv= 6% pre=0 | 34507  97.7% req=1667 3/0 kv= 4% pre=0 | 34887  98.3% req=1593 0/0 kv= 0% pre=0 | 37879  96.8% req=1495 1/0 kv= 1% pre=0 | 34035  98.2% req=1374 2/0 kv= 3% pre=0 | 35269  97.7% req=1658 3/0 kv= 3% pre=0 || 合计 97.4%
16:01:09 t=1786896069 | 35997  98.9% req=1388 1/0 kv= 2% pre=0 | 35089     - req=1195 0/0 kv= 0% pre=0 | 33833  98.1% req=1866 9/0 kv=12% pre=0 | 39477  98.5% req=1653 4/0 kv= 6% pre=0 | 32925  98.3% req=1348 0/0 kv= 0% pre=0 | 37455  96.8% req=1885 6/0 kv= 6% pre=0 | 32985  97.3% req=1598 10/0 kv=14% pre=0 | 34507  97.5% req=1685 2/0 kv= 3% pre=0 | 34887  98.1% req=1613 4/0 kv= 5% pre=0 | 37879  97.5% req=1511 2/0 kv= 3% pre=0 | 34035  98.6% req=1386 0/0 kv= 0% pre=0 | 35269  97.7% req=1674 2/0 kv= 2% pre=0 || 合计 97.7%
16:01:39 t=1786896099 | 35997  98.8% req=1391 0/0 kv= 0% pre=0 | 35089     - req=1195 0/0 kv= 0% pre=0 | 33833  98.0% req=1905 7/0 kv= 9% pre=0 | 39477  97.9% req=1672 3/0 kv= 5% pre=0 | 32925     - req=1348 0/0 kv= 0% pre=0 | 37455  96.4% req=1952 2/0 kv= 2% pre=0 | 32985  98.0% req=1633 6/0 kv= 9% pre=0 | 34507  98.0% req=1700 1/0 kv= 1% pre=0 | 34887  97.5% req=1636 3/0 kv= 4% pre=0 | 37879  97.3% req=1519 1/0 kv= 1% pre=0 | 34035  97.0% req=1388 0/0 kv= 0% pre=0 | 35269  97.9% req=1686 2/0 kv= 2% pre=0 || 合计 97.5%
16:02:09 t=1786896129 | 35997     - req=1391 0/0 kv= 0% pre=0 | 35089     - req=1195 0/0 kv= 0% pre=0 | 33833  98.1% req=1937 5/0 kv= 6% pre=0 | 39477  98.3% req=1686 2/0 kv= 3% pre=0 | 32925     - req=1348 0/0 kv= 0% pre=0 | 37455  96.9% req=2005 12/0 kv=15% pre=0 | 32985  95.6% req=1653 1/0 kv= 2% pre=0 | 34507  98.1% req=1712 2/0 kv= 3% pre=0 | 34887  98.0% req=1655 2/0 kv= 3% pre=0 | 37879  98.4% req=1526 1/0 kv= 1% pre=0 | 34035     - req=1388 0/0 kv= 0% pre=0 | 35269  97.0% req=1695 1/0 kv= 1% pre=0 || 合计 97.4%
16:02:40 t=1786896160 | 35997     - req=1391 0/0 kv= 0% pre=0 | 35089     - req=1195 0/0 kv= 0% pre=0 | 33833  97.8% req=1965 3/0 kv= 3% pre=0 | 39477  99.1% req=1693 1/0 kv= 2% pre=0 | 32925     - req=1348 0/0 kv= 0% pre=0 | 37455  98.0% req=2058 11/0 kv=14% pre=0 | 32985  98.3% req=1662 1/0 kv= 2% pre=0 | 34507  97.9% req=1723 1/0 kv= 1% pre=0 | 34887  98.5% req=1664 1/0 kv= 1% pre=0 | 37879  98.1% req=1533 1/0 kv= 1% pre=0 | 34035     - req=1388 0/0 kv= 0% pre=0 | 35269  97.0% req=1701 1/0 kv= 1% pre=0 || 合计 98.0%
16:03:10 t=1786896190 | 35997     - req=1391 0/0 kv= 0% pre=0 | 35089     - req=1195 0/0 kv= 0% pre=0 | 33833  97.9% req=1985 3/0 kv= 4% pre=0 | 39477  98.6% req=1696 0/0 kv= 0% pre=0 | 32925     - req=1348 0/0 kv= 0% pre=0 | 37455  97.9% req=2102 8/0 kv=10% pre=0 | 32985  98.0% req=1668 0/0 kv= 0% pre=0 | 34507  97.3% req=1729 1/0 kv= 2% pre=0 | 34887  98.5% req=1671 0/0 kv= 0% pre=0 | 37879     - req=1534 0/0 kv= 0% pre=0 | 34035     - req=1388 0/0 kv= 0% pre=0 | 35269  98.5% req=1708 1/0 kv= 1% pre=0 || 合计 98.0%
16:03:40 t=1786896220 | 35997     - req=1391 0/0 kv= 0% pre=0 | 35089     - req=1195 0/0 kv= 0% pre=0 | 33833  98.4% req=2004 2/0 kv= 3% pre=0 | 39477     - req=1696 0/0 kv= 0% pre=0 | 32925     - req=1348 0/0 kv= 0% pre=0 | 37455  97.4% req=2141 4/0 kv= 5% pre=0 | 32985  97.9% req=1673 1/0 kv= 2% pre=0 | 34507  98.2% req=1735 1/0 kv= 2% pre=0 | 34887     - req=1671 0/0 kv= 0% pre=0 | 37879     - req=1534 0/0 kv= 0% pre=0 | 34035     - req=1388 0/0 kv= 0% pre=0 | 35269  96.6% req=1714 1/0 kv= 1% pre=0 || 合计 97.7%
