router http://10.60.1.88:30000
worker http://10.60.1.22:35335 http://10.60.1.22:45815 http://10.60.1.167:33809 http://10.60.1.167:37605 
13:49:43 t=1786888183 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
13:50:13 t=1786888213 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
13:50:44 t=1786888244 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
13:51:14 t=1786888274 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
13:51:44 t=1786888304 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
13:52:14 t=1786888334 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
13:52:44 t=1786888364 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
13:53:14 t=1786888394 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
13:53:44 t=1786888424 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
13:54:14 t=1786888454 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
13:54:44 t=1786888484 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
13:55:14 t=1786888514 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
13:55:45 t=1786888545 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
13:56:15 t=1786888575 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
13:56:45 t=1786888605 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
13:57:15 t=1786888635 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
13:57:45 t=1786888665 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
13:58:15 t=1786888695 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
13:58:45 t=1786888725 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
13:59:15 t=1786888755 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
13:59:45 t=1786888785 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
14:00:16 t=1786888816 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
14:00:46 t=1786888846 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
14:01:16 t=1786888876 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
14:01:46 t=1786888906 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
14:02:16 t=1786888936 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
14:02:46 t=1786888966 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
14:03:16 t=1786888996 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
14:03:46 t=1786889026 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
14:04:16 t=1786889056 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
14:04:46 t=1786889086 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
